Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
PARANAGUÁ;1ª Vara Cível;0;5;0;5
PARANAGUÁ;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
PARANAGUÁ;Vara da Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;4;1;5
PARANAGUÁ;1ª Vara Criminal;0;5;0;5
PARANAVAÍ;1ª Vara Criminal;0;4;1;5
PARANAVAÍ;2ª Vara Criminal;1;4;1;6
PARANAVAÍ;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;5;1;6
PARANAVAÍ;Juizado Especial Cível, Criminal e da Fazenda Pública;0;8;1;9
PATO BRANCO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;6;0;6
PATO BRANCO;Vara Criminal;0;9;1;10
PATO BRANCO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;5;0;6
PEABIRU;Juízo Único;0;5;1;6
PÉROLA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
PINHAIS;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
PINHAIS;Vara Criminal;0;5;1;6
PINHAIS;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;1;5;0;6
PINHÃO;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;1;2;0;3
PINHÃO;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;4;0;5
PIRAÍ DO SUL;Juízo Único;0;3;0;3
PIRAQUARA;Vara Criminal;0;4;0;4
PIRAQUARA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
PIRAQUARA;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;0;4
PIRAQUARA;Vara Cível e da Fazenda Pública;1;2;0;3
PITANGA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;6;0;6
PONTA GROSSA;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;0;0;0;0
PONTA GROSSA;1ª Vara Cível;0;0;0;0
PONTA GROSSA;2ª Vara Criminal;0;0;0;0
PONTA GROSSA;Vara da Infância e Juventude;2;4;1;7
PONTA GROSSA;2º Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
PONTA GROSSA;Vara de Execuções Penais e Corregedoria dos Presídios;0;5;0;5
PONTA GROSSA;3ª Vara Criminal;0;4;0;4
PONTA GROSSA;1º Juizado Especial Cível, Criminal e da Fazenda Pública;2;4;0;6
PONTA GROSSA;1ª Vara Criminal;1;3;0;4
PONTA GROSSA;1ª Vara da Fazenda Pública;2;5;0;7
PONTA GROSSA;2ª Vara da Fazenda Pública;1;7;0;8
PONTA GROSSA;3º Juizado Especial Cível, Criminal e da Fazenda Pública;0;8;0;8
PONTAL DO PARANÁ;Vara Criminal, Família e Sucessões, Infância e Juventude, Juizado Especial Cível e Juizado Especial Criminal;0;6;0;6
PONTAL DO PARANÁ;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial e Juizado Especial da Fazenda Pública;1;4;1;6
PORECATU;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;0;3;1;4
PORECATU;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;3;1;5
PRIMEIRO DE MAIO;Juízo Único - Crime e Anexos e Juizados Especiais;0;3;0;3
PRUDENTÓPOLIS;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;2;3;1;6
PRUDENTÓPOLIS;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;2;4;0;6
QUATRO BARRAS;Juízo Único;0;2;0;2
QUEDAS DO IGUAÇU;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;0;1;0;1
QUEDAS DO IGUAÇU;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;0;3;0;3
REALEZA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
REBOUÇAS;Juízo Único;1;5;0;6
RESERVA;Juízo Único;2;1;0;3
RIBEIRÃO CLARO;Juízo Único - Crime e Anexos e Juizados Especiais;1;4;0;5
RIBEIRÃO DO PINHAL;Juízo Único - Crime e Anexos e Juizados Especiais;2;3;0;5
RIO BRANCO DO SUL;Vara Criminal e Infância e Juventude;0;4;0;4
RIO BRANCO DO SUL;Juizado Especial Cível, Criminal, da Fazenda Pública e Família e Sucessões;1;3;1;5
RIO NEGRO;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;6;0;7
ROLÂNDIA;Vara Criminal;1;3;1;5
ROLÂNDIA;Vara da Infância e Juventude, Família e Sucessões, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;1;5
ROLÂNDIA;Juizado Especial Cível, Criminal e da Fazenda Pública;0;6;1;7
SALTO DO LONTRA;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;1;4
SANTA FÉ;Juízo Único;1;5;1;7
SANTA HELENA;Juízo Único - Crime e Anexos e Juizados Especiais;0;3;0;3
SANTA ISABEL DO IVAÍ;Juízo Único;0;3;0;3
SANTA MARIANA;Juízo Único;1;5;0;6
SANTO ANTÔNIO DA PLATINA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;2;0;3
SANTO ANTÔNIO DA PLATINA;Vara Criminal, Infância e Juventude e Família e Sucessões;1;5;0;6
SANTO ANTÔNIO DO SUDOESTE;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
SÃO JERÔNIMO DA SERRA;Juízo Único;1;2;0;3
SÃO JOÃO;Juízo Único;1;1;0;2
SÃO JOÃO DO IVAÍ;Juízo Único - Crime e Anexos e Juizados Especiais;0;5;0;5
SÃO JOÃO DO TRIUNFO;Juízo Único - Crime e Anexos, Juizados Especiais e Distribuidor;1;2;0;3
SÃO JOSÉ DOS PINHAIS;Vara Descentralizada do Afonso Pena;1;4;0;5
SÃO JOSÉ DOS PINHAIS;2ª Vara Criminal;1;4;0;5
SÃO JOSÉ DOS PINHAIS;Vara de Família e Sucessões, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;1;6
SÃO JOSÉ DOS PINHAIS;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;1;7;0;8
SÃO JOSÉ DOS PINHAIS;Vara da Infância e Juventude;1;3;1;5
SÃO JOSÉ DOS PINHAIS;1ª Vara Criminal;0;4;1;5
SÃO JOSÉ DOS PINHAIS;1º Juizado Especial Cível e da Fazenda Pública;1;4;0;5
SÃO JOSÉ DOS PINHAIS;2º Juizado Especial Cível e da Fazenda Pública;0;4;2;6
SÃO JOSÉ DOS PINHAIS;3ª Vara Cível;0;8;1;9
SÃO JOSÉ DOS PINHAIS;Vara da Fazenda Pública;0;8;0;8
SÃO MATEUS DO SUL;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;2;0;3
SÃO MIGUEL DO IGUAÇU;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;1;5
SARANDI;2ª Vara Criminal;1;3;0;4
SARANDI;1ª Vara Criminal;1;3;1;5
SARANDI;Juizado Especial Cível, Criminal e da Fazenda Pública;0;5;0;5
SARANDI;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;1;5
SENGÉS;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;1;5
SERTANÓPOLIS;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
SIQUEIRA CAMPOS;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;1;5
TEIXEIRA SOARES;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;0;2
TELÊMACO BORBA;Vara Criminal;0;3;1;4
TELÊMACO BORBA;Vara Cível e da Fazenda Pública;0;4;0;4
TELÊMACO BORBA;Juizado Especial Cível, Criminal e da Fazenda Pública;0;4;0;4
TELÊMACO BORBA;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;3;0;3
TERRA BOA;Juízo Único;1;6;1;8
TERRA RICA;Juízo Único - Crime e Anexos e Juizados Especiais;0;2;0;2
TERRA ROXA;Juízo Único - Crime e Anexos e Juizados Especiais;0;3;0;3
TIBAGI;Juízo Único - Crime e Anexos e Juizados Especiais;0;0;1;1
TOLEDO;1ª Vara Criminal;1;2;0;3
TOLEDO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
TOLEDO;2ª Vara Criminal;1;4;0;5
TOLEDO;3ª Vara Cível e da Fazenda Pública;2;3;0;5
TOLEDO;Vara de Família e Sucessões;1;4;0;5
TOLEDO;Vara da Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;5;1;6
TOMAZINA;Juízo Único;0;4;0;4
UBIRATÃ;Juízo Único - Crime e Anexos e Juizados Especiais;1;4;1;6
UMUARAMA;1ª Vara Criminal;1;1;1;3
UMUARAMA;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;2;3;1;6
UMUARAMA;2ª Vara Criminal;1;3;1;5
UMUARAMA;3ª Vara Cível e da Fazenda Pública;0;6;0;6
UMUARAMA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;1;5
UMUARAMA;1ª Vara Cível e da Fazenda Pública;1;5;1;7
UNIÃO DA VITÓRIA;2ª Vara Criminal;0;3;0;3
UNIÃO DA VITÓRIA;2ª Vara Cível e da Fazenda Pública;0;4;0;4
UNIÃO DA VITÓRIA;1ª Vara Criminal;1;3;1;5
UNIÃO DA VITÓRIA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;1;5
UNIÃO DA VITÓRIA;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;5;1;7
URAÍ;Juízo Único;1;5;1;7
WENCESLAU BRAZ;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;0;4
XAMBRÊ;Juízo Único - Crime e Anexos e Juizados Especiais;1;5;0;6
