Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
GUARAPUAVA;2º Juizado Especial Cível, Criminal e da Fazenda Pública;1;5;0;6
GUARAPUAVA;1ª Vara Cível e da Fazenda Pública;1;6;1;8
GUARAPUAVA;3ª Vara Cível e da Fazenda Pública;2;6;0;8
GUARATUBA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;6;1;8
IBAITI;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
IBIPORÃ;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;3;0;3
IBIPORÃ;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
IBIPORÃ;Vara Criminal;1;4;0;5
ICARAÍMA;Juízo Único - Crime e Anexos e Juizados Especiais;1;3;0;4
IMBITUVA;Juízo Único;1;6;0;7
IPIRANGA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
IPORÃ;Juízo Único - Crime e Anexos e Juizados Especiais;2;1;1;4
IRATI;Secretaria Unificada da 1ª Vara Cível, da Fazenda Pública e Acidentes do Trabalho e da 2ª Vara Cível, da Fazenda Pública, dos Registros Públicos e da Corregedoria do Foro Extrajudicial;0;0;0;0
IRATI;Juizado Especial Cível, Criminal, da Fazenda Pública e Família e Sucessões;0;3;1;4
IRATI;Vara Criminal e Infância e Juventude;1;4;1;6
IRETAMA;Juízo Único;1;3;0;4
IVAIPORÃ;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
IVAIPORÃ;Vara Criminal, Infância e Juventude e Família e Sucessões;1;5;0;6
JACAREZINHO;Vara Criminal;1;3;0;4
JACAREZINHO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
JACAREZINHO;Vara Cível e da Fazenda Pública;1;3;1;5
JACAREZINHO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;3;1;5
JAGUAPITÃ;Juízo Único - Crime e Anexos e Juizados Especiais;2;3;0;5
JAGUARIAÍVA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;1;1;3
JANDAIA DO SUL;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;7;0;8
JANDAIA DO SUL;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;1;5;1;7
JOAQUIM TÁVORA;Juízo Único - Crime e Anexos e Juizados Especiais;0;2;0;2
LAPA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
LAPA;Vara Criminal, Infância e Juventude e Família e Sucessões;1;6;1;8
LARANJEIRAS DO SUL;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;3;1;4
LOANDA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;7;0;8
LONDRINA;3ª Vara de Família e Sucessões;0;0;0;0
LONDRINA;1ª Vara Criminal;0;0;0;0
LONDRINA;2ª Vara da Fazenda Pública;0;0;0;0
LONDRINA;Vara de Adolescentes em Conflito com a Lei;0;0;0;0
LONDRINA;2º Juizado de Violência Doméstica e Familiar contra a Mulher e Vara de Crimes Contra Crianças, Adolescentes e Idosos;0;7;0;7
LONDRINA;4º Juizado Especial Cível e Criminal;1;6;0;7
LONDRINA;4ª Vara Criminal;2;2;1;5
LONDRINA;5ª Vara Criminal;1;4;0;5
LONDRINA;3º Juizado Especial Cível e Criminal;1;6;0;7
LONDRINA;6º Juizado Especial Cível e Criminal;1;5;1;7
LONDRINA;3ª Vara Criminal;0;5;0;5
LONDRINA;Vara de Execuções Penais, Medidas Alternativas e Corregedoria dos Presídios;2;10;0;12
LONDRINA;1º Juizado de Violência Doméstica e Familiar contra a Mulher e Vara de Crimes contra Crianças, Adolescentes e Idosos;1;7;1;9
